Unnamee: 0,lnd,lnT,lnR,L,dq,conv_vel,h1,he3,he4,c12,n14,o16,ne20,mg24
197,-1.3444011394056361e+01,1.2668389897450718e+01,2.6530860894018482e+01,7.7444237501671153e+37,1.1936221087921703e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
198,-1.3406400931316244e+01,1.2676618274592508e+01,2.6530330238299293e+01,7.7444237491173160e+37,7.4601381799500963e-09,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
199,-1.3370470676911507e+01,1.2684584369277214e+01,2.6530010412923954e+01,7.7444237484635989e+37,1.1936221087920193e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
200,-1.3330588517138868e+01,1.2693364920082093e+01,2.6529516149016445e+01,7.7444237474204102e+37,1.0444193451930230e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
201,-1.3276664695672284e+01,1.2705435733177274e+01,2.6529100009042134e+01,7.7444237465103116e+37,2.1634400721855255e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
202,-1.3227572838233796e+01,1.2716142669278496e+01,2.6528281742784085e+01,7.7444237446320975e+37,8.9521658159401145e-09,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
203,-1.3190235237247265e+01,1.2724478359876305e+01,2.6527958818221670e+01,7.7444237438579630e+37,1.5666290177895292e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
204,-1.3141620164020884e+01,1.2735294125799760e+01,2.6527413702056654e+01,7.7444237425067017e+37,1.7904331631880210e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
205,-1.3096417429538207e+01,1.2745316793147867e+01,2.6526819259221352e+01,7.7444237409675764e+37,1.4920276359900177e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
206,-1.3052544855446406e+01,1.2755124283441465e+01,2.6526345024055340e+01,7.7444237396882682e+37,1.8650345449875329e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
207,-1.3008818251856120e+01,1.2764862838061636e+01,2.6525776787400556e+01,7.7444237380926104e+37,1.6412303995890193e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
208,-1.2962088888573575e+01,1.2775369128571552e+01,2.6525297380602297e+01,7.7444237366917061e+37,2.3126428357845378e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
209,-1.2917514023874190e+01,1.2785305301464480e+01,2.6524651604666882e+01,7.7444237347221740e+37,1.6412303995890193e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
210,-1.2871390050693920e+01,1.2795742819213073e+01,2.6524212577951340e+01,7.7444237333280865e+37,2.6856497447820322e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
211,-1.2825835496148998e+01,1.2805931098645770e+01,2.6523525394018521e+01,7.7444237310511878e+37,1.7904331631880316e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
212,-1.2796743705341888e+01,1.2812466855583766e+01,2.6523086933004829e+01,7.7444237295371189e+37,1.1936221087923264e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
213,-1.2764554896800301e+01,1.2819786640626937e+01,2.6522802698935916e+01,7.7444237285291919e+37,2.2380414539850264e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
214,-1.2716387482289344e+01,1.2830743451615655e+01,2.6522286021257692e+01,7.7444237266413145e+37,3.1332580355790584e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
215,-1.2670527120021568e+01,1.2841086543576709e+01,2.6521595439156571e+01,7.7444237240022948e+37,2.2380414539850264e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
216,-1.2633329070247063e+01,1.2849540946092228e+01,2.6521123454624917e+01,7.7444237221204135e+37,2.3375099630510276e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
217,-1.2604062069509098e+01,1.2856165654002467e+01,2.6520647817744853e+01,7.7444237201569041e+37,1.3925591269240165e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
218,-1.2572537760656270e+01,1.2863398562026371e+01,2.6520372322224390e+01,7.7444237189880622e+37,2.7851182538480543e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
219,-1.2527183980106977e+01,1.2873771694952187e+01,2.6519837780806110e+01,7.7444237166511316e+37,3.4813978173100519e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
220,-1.2474717601125899e+01,1.2885780861500173e+01,2.6519198105785966e+01,7.7444237137305167e+37,4.1776773807720601e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
221,-1.2430499744013046e+01,1.2895806688526993e+01,2.6518468233389889e+01,7.7444237102263695e+37,2.6110483629825362e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
222,-1.2395901271704958e+01,1.2903724508456377e+01,2.6518031029796795e+01,7.7444237080371900e+37,2.9591881447135403e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
223,-1.2359515973492463e+01,1.2912042550904294e+01,2.6517551724194468e+01,7.7444237055554481e+37,3.1332580355790371e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
224,-1.2315855548251373e+01,1.2922068632492349e+01,2.6517061645694388e+01,7.7444237029265705e+37,4.5258171625030536e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
225,-1.2279594223099445e+01,1.2930269261331430e+01,2.6516382807207521e+01,7.7444236991266590e+37,2.0888386903860354e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
226,-1.2246744288936435e+01,1.2937823975288829e+01,2.6516080209474530e+01,7.7444236973723921e+37,4.1776773807720601e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
227,-1.2207168635673051e+01,1.2946832452290084e+01,2.6515493790219033e+01,7.7444236938612744e+37,3.6554677081755482e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
228,-1.2176702775133732e+01,1.2953754391355332e+01,2.6514999783747708e+01,7.7444236907871299e+37,2.6110483629831930e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
229,-1.2134576994229508e+01,1.2963476780056673e+01,2.6514657080251002e+01,7.7444236885899808e+37,6.4654530892900767e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
230,-1.2084703337117792e+01,1.2974777559218084e+01,2.6513842072605773e+01,7.7444236831422035e+37,4.7744884351680569e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
231,-1.2053892241007204e+01,1.2981751905152749e+01,2.6513268307055901e+01,7.7444236791137939e+37,2.4867127266500292e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
232,-1.2021478015427862e+01,1.2989201109068932e+01,2.6512978162131166e+01,7.7444236770145220e+37,5.4707679986300652e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
233,-1.1985715855045200e+01,1.2997307294008293e+01,2.6512359359120956e+01,7.7444236723923189e+37,3.6057334536425478e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
234,-1.1947358816412130e+01,1.3006114346983963e+01,2.6511965241070085e+01,7.7444236693429902e+37,6.5897887256226255e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
235,-1.1913452310718977e+01,1.3013762880705885e+01,2.6511270928634869e+01,7.7444236637631345e+37,2.7353839993150219e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
236,-1.1883955682690658e+01,1.3020528778284559e+01,2.6510991924608142e+01,7.7444236614447223e+37,5.7194392712950996e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
237,-1.1834176021757905e+01,1.3031947190808339e+01,2.6510424789451461e+01,7.7444236565896451e+37,9.2008370886051196e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
238,-1.1790573220415985e+01,1.3041760597361280e+01,2.6509554873067355e+01,7.7444236487642053e+37,4.4760829079700741e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
239,-1.1757331963610544e+01,1.3049351802554542e+01,2.6509148950621637e+01,7.7444236449523176e+37,6.4654530892900980e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
240,-1.1715719405958455e+01,1.3058834306122557e+01,2.6508580959120391e+01,7.7444236394388630e+37,7.8082779616811039e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
241,-1.1668264156078682e+01,1.3069642695710204e+01,2.6507921746569924e+01,7.7444236327664244e+37,9.3003055976711426e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
242,-1.1628838727496739e+01,1.3078534568119313e+01,2.6507171375453322e+01,7.7444236248000652e+37,5.5702365076960660e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
243,-1.1587720092516839e+01,1.3087953199257436e+01,2.6506738561636864e+01,7.7444236200198650e+37,1.0742598979128157e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
244,-1.1550052689464300e+01,1.3096420714626653e+01,2.6505935989726316e+01,7.7444236107809896e+37,4.7744884351692844e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
245,-1.1524978678664647e+01,1.3102125537850628e+01,2.6505591885687200e+01,7.7444236066684961e+37,5.9681105439600710e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
246,-1.1495259855467514e+01,1.3108887109497835e+01,2.6505171925604358e+01,7.7444236015217278e+37,7.1617326527520841e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
247,-1.1459473268824458e+01,1.3117041741729424e+01,2.6504682061942501e+01,7.7444235953375670e+37,9.2505713431381302e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
248,-1.1419539039677710e+01,1.3126125426949277e+01,2.6504070555247190e+01,7.7444235873354703e+37,9.8473823975341794e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
249,-1.1378407114150759e+01,1.3135490702850058e+01,2.6503443917108904e+01,7.7444235787996351e+37,1.0742598979128115e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
250,-1.1338240066424494e+01,1.3144629287195390e+01,2.6502786594704872e+01,7.7444235694687728e+37,1.0294990688331098e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
251,-1.1299699293931877e+01,1.3153418814420265e+01,2.6502180313819079e+01,7.7444235605065774e+37,1.0817200360927674e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
252,-1.1267627708701475e+01,1.3160709593152766e+01,2.6501566241197047e+01,7.7444235510718106e+37,7.4390415590668315e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
253,-1.1228202605016583e+01,1.3169805221759292e+01,2.6501156640930187e+01,7.7444235445743050e+37,1.6040823504309209e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
254,-1.1183382951027811e+01,1.3180017631521681e+01,2.6500305956051430e+01,7.7444235305310025e+37,1.1824332923942451e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
255,-1.1147920565806443e+01,1.3188146529125566e+01,2.6499705059857725e+01,7.7444235201556752e+37,1.1283834059791495e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
256,-1.1114784779085664e+01,1.3195758839241535e+01,2.6499150649928315e+01,7.7444235102348928e+37,1.1171291481136134e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
257,-1.1082050854858982e+01,1.3203299030355197e+01,2.6498618793213495e+01,7.7444235003930117e+37,1.1869497198707124e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
258,-1.1047692128623161e+01,1.3211233815192968e+01,2.6498071007446224e+01,7.7444234899188506e+37,1.3265908633849143e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
259,-1.1008365598336815e+01,1.3220350680837607e+01,2.6497478441782482e+01,7.7444234781935072e+37,1.6756937221704180e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
260,-1.0973222077728324e+01,1.3228458609997948e+01,2.6496757383199982e+01,7.7444234633465800e+37,1.1171291481136176e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
261,-1.0947794749362556e+01,1.3234358949222198e+01,2.6496292451340281e+01,7.7444234534292526e+37,9.7748800459940810e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
262,-1.0920288612736637e+01,1.3240779705890355e+01,2.6495895336611865e+01,7.7444234447395849e+37,1.3615011492637052e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
263,-1.0878914450963936e+01,1.3250499964890229e+01,2.6495356463484083e+01,7.7444234326121721e+37,2.3040788679843258e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
264,-1.0843658874952681e+01,1.3258677729420249e+01,2.6494479625286126e+01,7.7444234120267347e+37,9.4257771872085847e-08,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
265,-1.0822090564071233e+01,1.3263746638051006e+01,2.6494132708513085e+01,7.7444234035887218e+37,1.1171291481136176e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
266,-1.0790931682387712e+01,1.3271116593202381e+01,2.6493729868195203e+01,7.7444233935736592e+37,1.9549760091988137e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
267,-1.0743230736751188e+01,1.3282443439170765e+01,2.6493045409712450e+01,7.7444233760042529e+37,2.9689226409488171e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
268,-1.0700943210562419e+01,1.3292383039701622e+01,2.6492051878924112e+01,7.7444233492248999e+37,1.6069053779279947e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
269,-1.0672511145393615e+01,1.3299141642879950e+01,2.6491535234886876e+01,7.7444233346840567e+37,1.6069053779280116e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
270,-1.0644983814173432e+01,1.3305700402758511e+01,2.6491032304671908e+01,7.7444233201073382e+37,1.6069053779279947e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
271,-1.0611808053572724e+01,1.3313657192166938e+01,2.6490542300699657e+01,7.7444233054951592e+37,2.4103580668920088e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
272,-1.0573556762233697e+01,1.3322819633340261e+01,2.6489829995686844e+01,7.7444232835105308e+37,2.4103580668920003e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
273,-1.0542889693577772e+01,1.3330160542926050e+01,2.6489142982210576e+01,7.7444232614507209e+37,1.6069053779280030e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
274,-1.0513351352893109e+01,1.3337304589321845e+01,2.6488698050971546e+01,7.7444232467039553e+37,2.4103580668920088e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
275,-1.0479153292958729e+01,1.3345570014426038e+01,2.6488049015490866e+01,7.7444232245262751e+37,2.4103580668920088e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
276,-1.0446270737204341e+01,1.3353546264103650e+01,2.6487420597512891e+01,7.7444232022851684e+37,2.4103580668920003e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
277,-1.0414603485645019e+01,1.3361254855648529e+01,2.6486811377528254e+01,7.7444231799844738e+37,2.4103580668920088e-07,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059789e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
