Unnamee: 0,lnd,lnT,lnR,L,dq,conv_vel,h1,he3,he4,c12,n14,o16,ne20,mg24
13,-2.0014520875206267e+01,1.0450948467318037e+01,2.6569163750210331e+01,7.7444237689830464e+37,1.4874136182354957e-12,0.0000000000000000e+00,7.0000000000000000e-01,2.9797635251138366e-05,2.7997020236474883e-01,3.4416073257059620e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
14,-1.9985242540698067e+01,1.0459910621881771e+01,2.6569121707438125e+01,7.7444237689830339e+37,1.4874136182354926e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
15,-1.9944401546352992e+01,1.0473080851740088e+01,2.6569080872686776e+01,7.7444237689830206e+37,2.9748272364710143e-12,1.2744695273508075e+01,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
16,-1.9906535230419478e+01,1.0485828731532076e+01,2.6569002457428663e+01,7.7444237689829948e+37,1.4874136182355086e-12,5.5852424723022577e+01,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
17,-1.9882913314689908e+01,1.0494153600844029e+01,2.6568964700111408e+01,7.7444237689829833e+37,1.4874136182355086e-12,7.9743788580077765e+01,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
18,-1.9849643556701710e+01,1.0506383336086109e+01,2.6568927820113881e+01,7.7444237689829709e+37,2.9748272364710238e-12,1.0461667095810522e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
19,-1.9808521733967534e+01,1.0522112469161553e+01,2.6568856462138943e+01,7.7444237689829451e+37,2.9748272364711079e-12,1.5534918929267576e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
20,-1.9770675027750574e+01,1.0537245115297058e+01,2.6568787964651128e+01,7.7444237689829202e+37,2.9748272364709853e-12,2.0474924639385148e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
21,-1.9744007519734068e+01,1.0548176988266777e+01,2.6568721997819748e+01,7.7444237689828971e+37,1.4874136182354991e-12,2.4947485018152959e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
22,-1.9727046915358148e+01,1.0555307662030122e+01,2.6568689877639397e+01,7.7444237689828838e+37,1.4874136182354926e-12,2.6874707131061370e+02,6.9999999999999991e-01,2.9797635251138462e-05,2.7997020236474883e-01,3.4416073257059740e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
